子網路遮罩(Subnet Mask)：255.255.254.0
F203-3  140.117.182.103
F203-4  140.117.182.104
F204-1  140.117.182.105
F204-2  140.117.182.106
F204-3  140.117.182.107
F204-4  140.117.182.108
F205-1  140.117.182.109
F205-2  140.117.182.110
F205-3  140.117.182.111
F205-4  140.117.182.112
F206-1  140.117.182.113
F206-2  140.117.182.114
F206-3  140.117.182.115
F206-4  140.117.182.116
F207-1  140.117.182.117
F207-2  140.117.182.118
F207-3  140.117.182.119
F207-4  140.117.182.120
F208-1  140.117.182.121
F208-2  140.117.182.122
F208-3  140.117.182.123
F208-4  140.117.182.124
F209-1  140.117.182.125
F209-2  140.117.182.126
F209-3  140.117.182.127
F209-4  140.117.182.128
F210-1  140.117.182.129
F210-2  140.117.182.130
F210-3  140.117.182.131
F210-4  140.117.182.132
F211-1  140.117.182.133
F211-2  140.117.182.134
F211-3  140.117.182.135
F211-4  140.117.182.136

3F

F301-1  140.117.183.1
F301-2  140.117.183.2
F301-3  140.117.183.3
F301-4  140.117.183.4
F302-1  140.117.183.5
F302-2  140.117.183.6
F302-3  140.117.183.7
F302-4  140.117.183.8
F303-1  140.117.183.9
F303-2  140.117.183.10
F303-3  140.117.183.11
F303-4  140.117.183.12
F304-1  140.117.183.13
F304-2  140.117.183.14
F304-3  140.117.183.15
F304-4  140.117.183.16
F305-1  140.117.183.17
F305-2  140.117.183.18
F305-3  140.117.183.19
F305-4  140.117.183.20
F306-1  140.117.183.21
F306-2  140.117.183.22
F306-3  140.117.183.23
F306-4  140.117.183.24
F307-1  140.117.183.25
F307-2  140.117.183.26
F307-3  140.117.183.27
F307-4  140.117.183.28
F308-1  140.117.183.29
F308-2  140.117.183.30
F308-3  140.117.183.31
F308-4  140.117.183.32
F309-1  140.117.183.33
F309-2  140.117.183.34
F309-3  140.117.183.35
F309-4  140.117.183.36
F310-1  140.117.183.37
F310-2  140.117.183.38
F310-3  140.117.183.39
F310-4  140.117.183.40
F311-1  140.117.183.41
F311-2  140.117.183.42
F311-3  140.117.183.43
F311-4  140.117.183.44
F312-1  140.117.183.45
F312-2  140.117.183.46
F312-3  140.117.183.47
F312-4  140.117.183.48
F313-1  140.117.183.49
F313-2  140.117.183.50
F313-3  140.117.183.51
F313-4  140.117.183.52
F314-1  140.117.183.53
F314-2  140.117.183.54
F314-3  140.117.183.55
F314-4  140.117.183.56
F315-1  140.117.183.57
F315-2  140.117.183.58
F315-3  140.117.183.59
F315-4  140.117.183.60
F316-1  140.117.183.61
F316-2  140.117.183.62
F316-3  140.117.183.63
F316-4  140.117.183.64

4F

F401-1  140.117.183.65
F401-2  140.117.183.66
F401-3  140.117.183.67
F401-4  140.117.183.68
F402-1  140.117.183.69
F402-2  140.117.183.70
F402-3  140.117.183.71
F402-4  140.117.183.72
F403-1  140.117.183.73
F403-2  140.117.183.74
F403-3  140.117.183.75
F403-4  140.117.183.76
F404-1  140.117.183.77
F404-2  140.117.183.78
F404-3  140.117.183.79
F404-4  140.117.183.80
F405-1  140.117.183.81
F405-2  140.117.183.82
F405-3  140.117.183.83
F405-4  140.117.183.84
F406-1  140.117.183.85
F406-2  140.117.183.86
F406-3  140.117.183.87
F406-4  140.117.183.88
F407-1  140.117.183.89
F407-2  140.117.183.90
F407-3  140.117.183.91
F407-4  140.117.183.92
F408-1  140.117.183.93
F408-2  140.117.183.94
F408-3  140.117.183.95
F408-4  140.117.183.96
F409-1  140.117.183.97
F409-2  140.117.183.98
F409-3  140.117.183.99
F409-4  140.117.183.100
F410-1  140.117.183.101
F410-2  140.117.183.102
F410-3  140.117.183.103
F410-4  140.117.183.104
F411-1  140.117.183.105
F411-2  140.117.183.106
F411-3  140.117.183.107
F411-4  140.117.183.108
F412-1  140.117.183.109
F412-2  140.117.183.110
F412-3  140.117.183.111
F412-4  140.117.183.112
F413-1  140.117.183.113
F413-2  140.117.183.114
F413-3  140.117.183.115
F413-4  140.117.183.116
F414-1  140.117.183.117
F414-2  140.117.183.118
F414-3  140.117.183.119
F414-4  140.117.183.120
F415-1  140.117.183.121
F415-2  140.117.183.122
F415-3  140.117.183.123
F415-4  140.117.183.124
F416-1  140.117.183.125
F416-2  140.117.183.126
F416-3  140.117.183.127
F416-4  140.117.183.128
